CpuDebugInfo { acc_reg: 0, x_reg: 0, y_reg: 0, stk_ptr: fd, pgrm_ctr: c003, status: 22, fetched: 0, addr_abs: 20ad, addr_rel: 0, opcode_index: ad, opcode: Instruction { opcode: LDA, addressing_mode: ABS, cycles: 4 }, cycles: 5 }
CpuDebugInfo { acc_reg: 0, x_reg: 0, y_reg: 0, stk_ptr: fd, pgrm_ctr: c005, status: 22, fetched: 0, addr_abs: 2020, addr_rel: 0, opcode_index: 20, opcode: Instruction { opcode: JSR, addressing_mode: ABS, cycles: 6 }, cycles: 6 }
CpuDebugInfo { acc_reg: 0, x_reg: 0, y_reg: 0, stk_ptr: fd, pgrm_ctr: c007, status: 22, fetched: 0, addr_abs: 606, addr_rel: 0, opcode_index: 20, opcode: Instruction { opcode: JSR, addressing_mode: ABS, cycles: 6 }, cycles: 6 }
CpuDebugInfo { acc_reg: 0, x_reg: 0, y_reg: 0, stk_ptr: fd, pgrm_ctr: c009, status: 22, fetched: 0, addr_abs: a2, addr_rel: 0, opcode_index: 6, opcode: Instruction { opcode: ASL, addressing_mode: ZP0, cycles: 5 }, cycles: 5 }
CpuDebugInfo { acc_reg: 0, x_reg: 8e, y_reg: 0, stk_ptr: fd, pgrm_ctr: c00b, status: a0, fetched: 8e, addr_abs: c00b, addr_rel: 0, opcode_index: a2, opcode: Instruction { opcode: LDX, addressing_mode: IMM, cycles: 2 }, cycles: 3 }
CpuDebugInfo { acc_reg: 0, x_reg: 8e, y_reg: 0, stk_ptr: fd, pgrm_ctr: c00e, status: a0, fetched: 8e, addr_abs: 2020, addr_rel: 0, opcode_index: 8e, opcode: Instruction { opcode: STX, addressing_mode: ABS, cycles: 4 }, cycles: 4 }
CpuDebugInfo { acc_reg: 0, x_reg: 8e, y_reg: 0, stk_ptr: fa, pgrm_ctr: c011, status: a4, fetched: 8e, addr_abs: c010, addr_rel: 0, opcode_index: 0, opcode: Instruction { opcode: BRK, addressing_mode: IMM, cycles: 7 }, cycles: 7 }
CpuDebugInfo { acc_reg: 0, x_reg: 8e, y_reg: 0, stk_ptr: fa, pgrm_ctr: c012, status: a4, fetched: 0, addr_abs: c010, addr_rel: 0, opcode_index: f, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 0, x_reg: 8e, y_reg: 0, stk_ptr: f7, pgrm_ctr: c015, status: a4, fetched: 0, addr_abs: c014, addr_rel: 0, opcode_index: 0, opcode: Instruction { opcode: BRK, addressing_mode: IMM, cycles: 7 }, cycles: 7 }
CpuDebugInfo { acc_reg: 0, x_reg: 8e, y_reg: 0, stk_ptr: f7, pgrm_ctr: c016, status: a4, fetched: 0, addr_abs: c014, addr_rel: 0, opcode_index: 7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 0, x_reg: 8d, y_reg: 0, stk_ptr: f7, pgrm_ctr: c017, status: a4, fetched: 0, addr_abs: c014, addr_rel: 0, opcode_index: ca, opcode: Instruction { opcode: DEX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
